UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly
00911f0d-8efd-493c-95ea-63008de11c95,1.0,PT,547.0,8.0,0.0,25.0,4.0,3.0,1.0,0.0,0.0,0.0,1317.0,722.0,595.0,"Piabet | piabet tv, piabet giriÅŸ, piabet giriÅŸ yap, piabet giris, piabet canlÄ±",5.0,0.0,1.0,1.0,9.0,24.0,0.0,0.0,100.0,100.0,5.0,5.0,5.0,3.0,1003.0,1330.0,https://freebetbahis.com/,2.0,0.0,0.0
a7f3e07b-859f-4f2b-b716-0f156fb365a1,1.0,PT,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,100.0,80.0,5.0,5.0,5.0,3.0,166.0,343.0,https://www.scifiline.com/wp-admin/maint/scripts/,0.0,0.0,0.0
b86d03b9-e078-4e31-bb4b-ebf1f2214662,1.0,PT,7.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,28.0,23.0,5.0,Sign in to continue,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,100.0,80.0,5.0,5.0,5.0,3.0,166.0,343.0,http://www.scifiline.com/wp-admin/maint/scripts,0.0,1.0,0.0
1f694936-06c1-4328-9760-30ecfd8422ed,1.0,PT,41.0,4.0,0.0,6.0,7.0,1.0,6.0,2.0,23.0,0.0,108.0,69.0,39.0,Sign in to your account,6.0,6.0,3.0,5.0,16.0,15.0,0.0,0.0,100.0,17.0,6.0,6.0,4.0,3.0,554.0,1211.0,https://gfmfxefsrr-my.sharepoint.com/personal/jose_pozos_ferromex_mx/_layouts/15/Doc.aspx?sourcedoc=%7B898ad54d-f65d-469d-9423-f005add906d1%7D&amp;action=view&amp;wd=target%28Sveriges%20Kommuner%20och%20Regioner.one%7C824a1570-71a2-449b-8f1b-52edf0fb672c%2FSveriges%20Kommuner%20och%20Regioner%7C2911b9b7-5576-49e5-9af3-8fb42aa40f70%2F%29,2.0,1.0,3.0
4d6aa8a7-ad05-41ae-93b0-0d92c51895bd,1.0,PT,8.0,2.0,0.0,7.0,2.0,0.0,2.0,1.0,4.0,0.0,81.0,72.0,9.0,Adobe PDF,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,117.0,128.0,http://tawreedss.com/PDF/login/index.pdf.html,0.0,1.0,0.0
7bfb836f-32d6-4417-b454-f614dab31581,1.0,PT,8.0,2.0,0.0,7.0,2.0,0.0,2.0,1.0,4.0,0.0,81.0,72.0,9.0,Adobe PDF,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,117.0,128.0,https://buffalomerchants.com/cgi.php,0.0,1.0,0.0
20f8077e-0952-42b6-aa2b-0e00de4c1e10,1.0,PT,56.0,0.0,1.0,296.0,26.0,19.0,7.0,0.0,0.0,0.0,824.0,711.0,113.0,Looking At The Lack Of Exercise In Today's Society And How We Fix It - How To Run,0.0,0.0,0.0,0.0,50.0,44.0,0.0,0.0,89.0,83.0,7.0,8.0,6.0,3.0,348.0,917.0,https://howtorun.biz/cgi-bin/look/?email=,9.0,0.0,0.0
1c6498b0-8b31-4725-8d86-cb78a92303e1,1.0,PT,7.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,28.0,23.0,5.0,Sign in to continue,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,100.0,75.0,5.0,5.0,4.0,3.0,166.0,343.0,http://www.scifiline.com/wp-admin/maint/scripts/,0.0,1.0,0.0
8467f73d-97e0-4929-8847-6a96f765abdd,1.0,PT,7.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,28.0,23.0,5.0,Sign in to continue,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,100.0,80.0,5.0,5.0,5.0,3.0,166.0,343.0,https://www.scifiline.com/wp-admin/maint/scripts/,0.0,1.0,0.0
971fef7f-644d-4787-963e-7e630d59895b,1.0,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
