UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks
3a17d718-4f07-4d32-a3d6-a24851b55ef7,1.0,OP,9.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,51.0,34.0,17.0,Suspected phishing site | Cloudflare,1.0,0.0,0.0,1.0,5.0,8.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,62.0,108.0,https://apkapost.com/gf/content/content/Linkedin/index.php,1.0
f517902c-6587-4182-b0ff-a1c2a859cf56,1.0,OP,9.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,51.0,34.0,17.0,Suspected phishing site | Cloudflare,1.0,1.0,0.0,1.0,5.0,8.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,62.0,108.0,https://waldofl.buzz/Support/docusign17/,1.0
ede3e641-23ae-4534-85b3-96230c69cfe6,1.0,OP,26.0,1.0,0.0,28.0,18.0,13.0,5.0,3.0,3.0,0.0,199.0,110.0,89.0,Page not found | TECNOCIENCIA PERÃš,0.0,,,,18.0,28.0,0.0,0.0,100.0,40.0,4.0,6.0,5.0,3.0,663.0,976.0,http://www.tecnocienciaperu.com/wp-includes/customize/EMA/,3.0
0e8045ba-c1d1-40a8-a477-1d270a68fcd5,1.0,OP,27.0,2.0,0.0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,57.0,18.0,39.0,Log in | WeTransfer,0.0,,,,9.0,10.0,0.0,0.0,100.0,50.0,2.0,2.0,2.0,2.0,433.0,442.0,https://sfird.xyz/excel/excel/,0.0
a993891b-9e56-41ae-a7d3-afefaf9bd3d4,1.0,OP,36.0,2.0,0.0,11.0,20.0,7.0,13.0,2.0,12.0,0.0,112.0,47.0,65.0,Amazonãƒ­ã‚°ã‚¤ãƒ³,0.0,,,,66.0,19.0,0.0,0.0,100.0,25.0,5.0,6.0,3.0,3.0,279.0,922.0,http://91.216.190.14/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https://www.amazon.co.jp/?ref_=nav_em_hd_re_signin&openid.identity=http://specs.openid.net/auth/2.0/identifier_select&openid.assoc_handle=jpflex&openid.mode=checkid_setup&key=a@b.c&openid.claimed_id=http://specs.openid.net/auth/2.0/identifier_select&openid.ns=http://specs.openid.net/auth/2.0&&ref_=nav_em_hd_clc_signinopenid.ns=http://specs.openid.net/auth/2.0&&ref_=nav_em_hd_clc_signin,0.0
0062a5f5-e4d1-4eb6-a25c-f878b2da19a5,1.0,OP,7.0,2.0,0.0,6.0,3.0,2.0,1.0,1.0,7.0,0.0,72.0,49.0,23.0,RuneScape Log In,5.0,0.0,3.0,0.0,9.0,15.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,1088.0,1492.0,"https://secure.runescape.com-en.ru/m=weblogin/loginform721,854,871,27428108,1",5.0
5eae5ff9-f3e3-4cce-a820-e788da98751a,1.0,OP,7.0,2.0,0.0,6.0,3.0,2.0,1.0,1.0,7.0,0.0,72.0,49.0,23.0,RuneScape Log In,5.0,0.0,3.0,0.0,9.0,15.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,1088.0,1492.0,"https://secure.runescape.com-as.ru/m=weblogin/loginform528,952,119,14135136,1",5.0
5e211a1e-ae9a-4a86-861c-bc2a3e7024d7,1.0,OP,7.0,2.0,0.0,6.0,3.0,2.0,1.0,1.0,7.0,0.0,72.0,49.0,23.0,RuneScape Log In,5.0,0.0,3.0,0.0,9.0,15.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,1088.0,1492.0,"https://secure.runescape.com-un.ru/m=weblogin/loginform400,277,960,88886146,1",5.0
1a7049c4-be8b-4401-8900-890f6639c80f,1.0,OP,7.0,2.0,0.0,6.0,3.0,2.0,1.0,1.0,7.0,0.0,72.0,49.0,23.0,RuneScape Log In,5.0,0.0,3.0,0.0,9.0,15.0,0.0,0.0,100.0,50.0,2.0,2.0,3.0,2.0,1088.0,1492.0,"https://secure.runescape.com-un.ru/m=weblogin/loginform330,124,586,42599400,1",5.0
b657bb68-1200-40a2-811e-250f544b8877,1.0,OP,24.0,2.0,0.0,20.0,21.0,19.0,2.0,1.0,14.0,0.0,125.0,70.0,55.0,Sign In | Made-in-China.com,3.0,0.0,0.0,0.0,23.0,34.0,0.0,0.0,9.0,57.0,7.0,7.0,6.0,4.0,205.0,412.0,http://www.monicasu.com/css/user1/made-in-china.com/made-in-chin-new%20dd/,13.0
