UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,session & httponly,sensitive
f1ce1e6d-203c-452f-8970-ef7e547d4a96,1.0,OP,76.0,1.0,0.0,7.0,10.0,9.0,1.0,1.0,4.0,0.0,194.0,132.0,62.0,"
iCloud
",0.0,0.0,0.0,0.0,33.0,22.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,1547.0,1543.0,https://icloud.com.br.maps-pt.com/index.php?id=iCloud,1.0,0.0,0.0
4edc1635-8270-46a0-80c2-bd21a67f1a63,1.0,OP,76.0,1.0,0.0,7.0,10.0,9.0,1.0,1.0,4.0,0.0,194.0,132.0,62.0,"
iCloud
",0.0,0.0,0.0,0.0,33.0,22.0,0.0,0.0,100.0,0.0,1.0,2.0,1.0,1.0,1547.0,1543.0,https://www.icloud.com.br.maps-pt.com/iCloud,1.0,0.0,0.0
72ae99a4-fa38-4604-8cf1-042a50908669,1.0,OP,76.0,1.0,0.0,7.0,10.0,9.0,1.0,1.0,4.0,0.0,194.0,132.0,62.0,"
iCloud
",0.0,0.0,0.0,0.0,33.0,22.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,1547.0,1543.0,https://icloud.com.br.maps-pt.com/iCloud,1.0,0.0,
644a627f-2a41-41a5-a427-544567fbd319,1.0,OP,76.0,1.0,0.0,7.0,10.0,9.0,1.0,1.0,4.0,0.0,194.0,132.0,62.0,"
iCloud
",0.0,0.0,0.0,0.0,33.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1547.0,1543.0,http://icloud.com.br.maps-pt.com/iCloud,1.0,0.0,
7207d85a-5f4e-45e8-b15a-501a14139b11,1.0,OP,12.0,10.0,0.0,5.0,1.0,0.0,1.0,1.0,3.0,0.0,54.0,51.0,3.0,Log In,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,310.0,312.0,https://cascoviejosantander.es/wp-content/themes/twentynineteen/fonts/schwab/swab/schwab/schwab/home/login.php?cmd=login_submit,0.0,0.0,
19aff245-1428-4272-bfc4-beaa1ff93e2a,1.0,OP,8.0,0.0,0.0,13.0,4.0,2.0,2.0,2.0,4.0,0.0,91.0,47.0,44.0,Page not found â€“ Monthly Coaching,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,47.0,266.0,http://monthlycoaching.com/opt/index.htm,2.0,0.0,0.0
9ca21217-5738-49b6-bb2a-0622612445bf,1.0,OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21127be9-d998-4c3d-94e3-9e5f655cb71e,1.0,OP,23.0,3.0,0.0,27.0,5.0,5.0,0.0,1.0,5.0,0.0,119.0,77.0,42.0,Manage your Apple ID - Apple,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,3.0,7.0,https://www.support-appleld.com.secureupdate.duilawyeryork.com/ap/06ff2fc045dc7dd/,0.0,0.0,1.0
6deb735e-6a72-45d9-9234-41842f0e5d02,1.0,OP,582.0,75.0,12.0,377.0,124.0,38.0,86.0,1.0,6.0,0.0,2284.0,739.0,1545.0,Kit Furadeira Parafusadeira GSR 120 LI com Chave de Impacto GDR 120 LI - Bosch - Furadeira a Bateria - Magazine Luiza,0.0,0.0,0.0,0.0,293.0,166.0,0.0,0.0,98.0,41.0,37.0,58.0,45.0,11.0,2827.0,6229.0,https://onlynogueirasvirt.com/produto/1594590968/kit-furadeira-parafusadeira-gsr-120-li-com-chave-de-impacto-gdr-120-li-bosch/p/hh182d4746/fs/fprr/&uid=4403288608,180.0,0.0,0.0
2cbefc27-eea4-4ad2-b1a8-b15fb1fcd9a5,1.0,OP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,Contact Support,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,http://arlington-development.com/mobile.chase.com/verification.php,0.0,0.0,
