UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive
bc977d5b-82e4-490d-abae-b885d34efe72,1.0,OP,26.0,1.0,0.0,0.0,6.0,3.0,3.0,2.0,4.0,0.0,60.0,31.0,29.0,Activation - AT&T Mail Services,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,20.0,0.0,2.0,2.0,2.0,1.0,513.0,1284.0,http://att-serviceauth00015541722.marazulturismo.com.br/,0.0,0.0
e2e08962-9908-46fa-bd93-259c3456088b,1.0,OP,78.0,29.0,0.0,74.0,7.0,4.0,3.0,1.0,2.0,0.0,235.0,149.0,86.0,"MARIO GAMES - Play Super Mario Games Online, FREE!",0.0,0.0,0.0,0.0,25.0,38.0,0.0,0.0,5.0,43.0,6.0,8.0,7.0,4.0,578.0,606.0,https://behmining.com/resources/support/nfx/,6.0,0.0
6d67e4e7-f3d2-45c7-a08f-baa1d520b788,1.0,OP,256.0,16.0,4.0,118.0,20.0,8.0,12.0,3.0,16.0,0.0,989.0,499.0,490.0,2003 FIAT AUTOTRAIL APACHE MOTORHOME CAMPER VAN CARAVAN on eBay (end time  15-Dec-10 11:43:04 GMT),0.0,0.0,0.0,0.0,37.0,48.0,0.0,0.0,2.0,13.0,7.0,11.0,8.0,2.0,266.0,724.0,http://ebayfraud.gremlins-in-it.com/200554108272-safe.html,71.0,1.0
2b0726d7-05f3-406f-bbf1-64213d1f8ec7,1.0,OP,9.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,30.0,35.0,"Secure File Sharing, Storage and Collaboration | Box",0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,0.0,2.0,2.0,3.0,2.0,1064.0,1448.0,http://www.expertreviewchannel.co/document/box.html,0.0,0.0
6a6de915-96c0-4c6e-8853-de7d3ff2d153,1.0,OP,22.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,49.0,27.0,22.0,Netflix,1.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,262.0,260.0,https://emilyeggebraatenphotography.com/nht/MSt8sM9msGBHS6mBvNMXMSt8sM9msGBHS6mBvNMXryUy4FfDtAQAS7QPPVJpXVhTFHmVryUy4FfDtAQAS7QPPVJpXVhTFHmV/login/8c3039bd5842dca3d944faab91447818/,0.0,1.0
8bbc1c9d-88f9-4de3-b005-a3886ef1a7a5,1.0,OP,22.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,49.0,27.0,22.0,Netflix,1.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,262.0,260.0,https://emilyeggebraatenphotography.com/nht/MSt8sM9msGBHS6mBvNMXMSt8sM9msGBHS6mBvNMXryUy4FfDtAQAS7QPPVJpXVhTFHmVryUy4FfDtAQAS7QPPVJpXVhTFHmV/login/a6ea8471c120fe8cc35a2954c9b9c595/,0.0,1.0
9b525fd4-8d87-4ddf-a301-d6c3bdc4ecaa,1.0,OP,27.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,25.0,94.0,WhatsApp Group Invite,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,50.0,3.0,3.0,2.0,2.0,115.0,310.0,http://chat-whatsapp.doctorhaddadpediatriayflores.cl/,21.0,0.0
17b19a91-d1c2-4db1-a8f0-cebfa92b8422,1.0,OP,21.0,5.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,56.0,16.0,40.0,Website sleeping | 000webhost,5.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,100.0,80.0,10.0,10.0,8.0,3.0,138.0,366.0,https://azrszcz.000webhostapp.com/,4.0,0.0
27582b18-8b7a-481f-9a74-cc0f369b5406,1.0,OP,21.0,5.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,56.0,16.0,40.0,Website sleeping | 000webhost,5.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,100.0,80.0,10.0,10.0,8.0,3.0,137.0,366.0,https://arevzsaz.000webhostapp.com/,4.0,0.0
2b86b7eb-cae7-46f6-a3fc-0cdca550b801,1.0,OP,21.0,5.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,56.0,16.0,40.0,Website sleeping | 000webhost,5.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,100.0,80.0,10.0,10.0,8.0,3.0,138.0,366.0,https://arevozsx.000webhostapp.com/,4.0,0.0
