UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,sensitive,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,Cookies,URL,OutGoingLinks,JSGlobalVar,secure,session,httponly,session & httponly
23ebad51-0f95-4ce1-8cae-a38cead3dd06,1.0,OP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,404 Not Found,0.0,1.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,https://2bittechnology.in/js/mfilealldom/mfile/bb8cf4c5688aca5bb3613e207469d8c7/,0.0,0.0,0.0,0.0,0.0,0.0
2899997a-271a-4caf-b9cb-8d590e0377d3,1.0,OP,27.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,25.0,94.0,WhatsApp Group Invite,0.0,5.0,0.0,0.0,100.0,50.0,3.0,3.0,2.0,2.0,311.0,310.0,0.0,https://www.xporn.eventfreex.com/,21.0,0.0,0.0,0.0,0.0,0.0
ddaf6b7f-0fa3-4242-91c6-3c6b0af3773d,1.0,OP,21.0,5.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,56.0,16.0,40.0,Website sleeping | 000webhost,0.0,14.0,0.0,0.0,100.0,80.0,10.0,10.0,8.0,3.0,137.0,364.0,5.0,https://upapage.000webhostapp.com/set.html,4.0,13.0,0.0,0.0,0.0,0.0
c5152c3b-9271-47d8-9c26-1b6f647c7cfc,1.0,OP,21.0,5.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,56.0,16.0,40.0,Website sleeping | 000webhost,0.0,14.0,0.0,0.0,100.0,80.0,10.0,10.0,8.0,3.0,137.0,364.0,5.0,https://upapage.000webhostapp.com/sets.html?=10065877425?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,4.0,13.0,0.0,0.0,0.0,0.0
811b17b1-6e38-4356-adec-3018f6bda1b3,1.0,OP,78.0,1.0,0.0,13.0,19.0,6.0,13.0,1.0,19.0,0.0,169.0,78.0,91.0,Facebook â€“ log in or sign up,1.0,10.0,0.0,0.0,40.0,67.0,3.0,3.0,4.0,2.0,95.0,359.0,1.0,https://f.samsung-lucky-winner.xyz/,0.0,27.0,0.0,1.0,0.0,0.0
2ef94ed3-ce10-450e-94ed-11b5c57b507f,1.0,OP,21.0,5.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0,0.0,56.0,16.0,40.0,Website sleeping | 000webhost,0.0,14.0,0.0,0.0,93.0,80.0,10.0,10.0,8.0,3.0,137.0,364.0,5.0,http://world-beater-recogn.000webhostapp.com/,4.0,13.0,0.0,0.0,0.0,0.0
a90d5b10-293d-4420-a0d8-c5138327a16c,1.0,OP,7.0,4.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,0.0,29.0,26.0,3.0,PayPal,1.0,8.0,0.0,0.0,100.0,33.0,3.0,3.0,3.0,2.0,44.0,99.0,0.0,https://conciergehousecalls.com/baiyf/e365470e8f6c67e680fa278903f6b25f/view/login.php?userid=,0.0,2.0,0.0,0.0,0.0,0.0
1a76ecd9-ffd3-4f4b-aa85-9654fc509e61,1.0,OP,27.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,3.0,0.0,70.0,30.0,40.0,Facebook,1.0,11.0,0.0,0.0,91.0,100.0,1.0,1.0,2.0,1.0,61.0,185.0,0.0,https://upmapage.000webhostapp.com/set.html,0.0,14.0,0.0,0.0,0.0,0.0
b5047c3c-d183-42da-9cd7-faa80cd1b350,1.0,OP,27.0,0.0,0.0,5.0,3.0,1.0,2.0,1.0,3.0,0.0,74.0,33.0,41.0,Facebook,1.0,11.0,0.0,0.0,91.0,100.0,1.0,1.0,2.0,1.0,61.0,185.0,0.0,https://upmapage.000webhostapp.com/sets.html?=10065877425?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,1.0,14.0,0.0,0.0,0.0,0.0
6ea87353-9592-44e3-8c4a-570eae3a4f3f,1.0,OP,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,18.0,12.0,6.0,ã€smbc.co.jpã€‘æ¤œè¨¼,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,362.0,362.0,0.0,"http://roboticsinglesitesurgery.com/smbc.co.jp/jp/SMBC/smbc.co.jp/0f7e8bd4a0e79c7fae3a469618fea720/?cmd=_identifier_Demarrer_ID=1210976155408+_TIme:Thu,Jul,16,2020-11:35pm",0.0,0.0,0.0,0.0,0.0,0.0
