UUID,label,source,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,Cookies,URL,OutGoingLinks,JSGlobalVar,secure,session,httponly,session & httponly,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,sensitive
b599cb5a-c6ca-43ba-8c3d-6dea008e7abe,1.0,OP,23.0,0.0,0.0,91.0,50.0,2.0,2.0,2.0,2.0,715.0,880.0,1.0,http://wereldpas-aanvraagproces.wetransfr.ir/index.php/false/false/false,1.0,86.0,0.0,1.0,0.0,0.0,19.0,3.0,0.0,13.0,14.0,4.0,10.0,4.0,21.0,0.0,134.0,85.0,49.0,Rabo Internetbankieren - Rabobank,1.0
480d25be-a0c2-45b4-9b33-2a6e646154b3,1.0,OP,23.0,0.0,0.0,91.0,50.0,2.0,2.0,2.0,2.0,715.0,880.0,1.0,http://wereldpas-aanvraagproces.wetransfr.ir/index.php/step2.php,1.0,86.0,0.0,1.0,0.0,0.0,19.0,3.0,0.0,13.0,14.0,4.0,10.0,4.0,21.0,0.0,134.0,85.0,49.0,Rabo Internetbankieren - Rabobank,1.0
e8697b4d-cde7-4fe7-8166-fc3fca61bd86,1.0,OP,2.0,0.0,0.0,50.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,http://amcgardiennage.com/p2w9zizpptjanku3rduxmnqznw==,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,,0.0
2bd466d8-1422-4aaa-a37c-12ed25c1a073,1.0,OP,1.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,https://choeurdhommes-syl-roussel.fr/jquery/themes/base/accunts/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,401 Unauthorized,0.0
000356ba-7f96-4210-bb38-4844e2313948,1.0,OP,1.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,https://choeurdhommes-syl-roussel.fr/jquery/themes/base/accunts/customer_center/customer-IDPP00C397/myaccount/signin/?country.x=US&locale.x=en_US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,401 Unauthorized,0.0
c20105a8-b953-49f8-a1e2-a8fd8f7396ac,1.0,OP,3.0,0.0,0.0,67.0,0.0,2.0,2.0,3.0,2.0,11.0,11.0,0.0,https://glide.co/supp/Update/Access/,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,40.0,38.0,2.0,WebMail,1.0
5f6df742-6060-47ec-919f-5b9d4c33d9c0,1.0,OP,2.0,0.0,0.0,50.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,http://amcgardiennage.com/P2w9YSZpPThJNWcxajE3M1U=,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,,0.0
7b2cd67f-5f81-4c70-8158-3f2f0f8efed8,1.0,OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a84f0b9-f88a-46a5-b9ab-8ac0a3dc78ab,1.0,OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6973c350-0171-4c33-82f1-bd9577243a8d,1.0,OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8961d6e-2bb7-4b1b-9fe1-15b8fed9e62d,1.0,OP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b358c1bf-8563-4931-b77e-7394b668da0a,1.0,OP,15.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,953.0,1952.0,1.0,http://secureupdate.appleld.com.duilawyeryork.com/ap/9d99b61a772da66?cmd=_update&dispatch=9d99b61a772da66cc&locale=_US,0.0,13.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
9821d5de-b3b0-4dee-a747-eed3115c77ce,1.0,OP,50.0,0.0,0.0,100.0,47.0,12.0,16.0,16.0,3.0,1062.0,2427.0,0.0,https://elevenpuppy.com/tat/sbc/sbc/sbcglobal.net.htm,15.0,167.0,0.0,0.0,0.0,0.0,34.0,4.0,2.0,20.0,24.0,19.0,5.0,1.0,12.0,0.0,199.0,147.0,52.0,AT&T - Login,1.0
6f64418e-8353-48a7-9a1f-8780cd05242c,1.0,OP,25.0,0.0,0.0,100.0,50.0,2.0,2.0,2.0,2.0,747.0,1692.0,1.0,https://yu64ysoasotimasemelhores.com/MeusProdutos/Prefetch.php?skullid=57974687,363.0,16.0,0.0,0.0,0.0,0.0,234.0,12.0,0.0,496.0,13.0,8.0,5.0,2.0,2.0,0.0,2273.0,564.0,1709.0,Jogo De Panelas Tramontina Antiaderente 12 PeÃ§as Vermelho,0.0
f7805a28-c4cb-4ef5-9c88-1731a6d1627f,1.0,OP,4.0,0.0,0.0,100.0,100.0,3.0,3.0,3.0,2.0,27.0,30.0,0.0,https://chckrwebzin.com/produto/1595195478/smartphone-samsung-galaxy-a30s-64gb-preto-4g-4gb-ram-tela-64-cam-tripla-cam-selfie-16mp/p/155569400/te/sa3s/&uid=2858899543,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,3.0,Site suspenso,0.0
c8f0c8fc-44a7-48a9-8acb-7cda55ccb23e,1.0,OP,1.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,7.0,7.0,0.0,https://5ytaj8s6-p2tjtsccf.vercel.app/,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,35.0,13.0,451: DEPLOYMENT_DISABLED,0.0
2a3f4624-e5b3-4cf2-a9e0-4c3038a7a0ee,1.0,OP,8.0,0.0,0.0,0.0,100.0,1.0,1.0,1.0,1.0,65.0,107.0,1.0,http://vemcomamagalu-2020.com/produto/tudo-de-promocao-e-aqui/oV97wFfiFX_rKuGaTIkYX1TZvwqHiQYdIWyWuY3eBa-BfXy8iA/5,1.0,5.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,51.0,34.0,17.0,Suspected phishing site | Cloudflare,0.0
ece112f3-6e54-4888-8498-ad593ca4bdc9,1.0,OP,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,19.0,21.0,0.0,http://keynotes-music-mississauga.ca/CERB/Corona/Cra/Finance/atb/details.php,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,403 Forbidden,0.0
268eb040-e37c-408c-a2d6-cef4a476b1b8,1.0,OP,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,19.0,21.0,0.0,http://keynotes-music-mississauga.ca/CERB/Corona/Cra/Finance/atb/secquestions.php,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,15.0,14.0,403 Forbidden,0.0
1476ce1c-2306-4878-9b6e-bcc942c58b04,1.0,OP,10.0,0.0,0.0,90.0,57.0,5.0,6.0,6.0,2.0,174.0,435.0,0.0,http://skilful-courage-283714.nw.r.appspot.com/home.html,28.0,3.0,0.0,0.0,0.0,0.0,61.0,2.0,1.0,66.0,2.0,0.0,2.0,2.0,5.0,0.0,310.0,100.0,210.0,Personal cloud storage - Microsoft OneDrive,1.0
b37bab71-e0b6-4ccd-8b61-4a40949ee698,1.0,OP,9.0,0.0,0.0,100.0,50.0,2.0,2.0,2.0,2.0,102.0,438.0,1.0,https://uharso.com/amazon/mazon/51ef6/,0.0,2.0,1.0,1.0,0.0,0.0,33.0,0.0,0.0,9.0,3.0,3.0,0.0,1.0,2.0,0.0,79.0,20.0,59.0,Amazon Sign In,1.0
815d0d8d-f99c-458c-a4c9-5a3d75f12e34,1.0,OP,33.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,77.0,92.0,0.0,http://rakuten.co.jp.z73sx3kfvu12ol97jastd32ksdyu2mu2ds.ga/,0.0,2.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,15.0,11.0,9.0,2.0,1.0,21.0,0.0,152.0,129.0,23.0,ã€æ¥½å¤©ã€‘ãƒ­ã‚°ã‚¤ãƒ³,1.0
85398c0a-565e-4e95-b218-a672cd9b3e19,1.0,OP,32.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,76.0,92.0,0.0,http://rakuten.co.jp.k3kngroeniu4lkdsbnhoirtehj43osapferphnmo5dsk.ga/,0.0,2.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,15.0,11.0,9.0,2.0,1.0,21.0,0.0,152.0,129.0,23.0,ã€æ¥½å¤©å¸‚å ´ã€‘Shopping is Entertainment! ï¼š ã‚¤ãƒ³ã‚¿ãƒ¼ãƒãƒƒãƒˆæœ€å¤§ç´šã®é€šä¿¡è²©å£²ã€é€šè²©ã‚ªãƒ³ãƒ©ã‚¤ãƒ³ã‚·ãƒ§ãƒƒãƒ”ãƒ³ã‚°ã‚³ãƒŸãƒ¥ãƒ‹ãƒ†ã‚£,1.0
