Ad-blocked,Cookies,Countries,Domains,HTTPS,IPs,IPv6,JSGlobalVar,Malicious,No-class Tags,OutGoingLinks,Requests,Size,Subdomains,Tags,Title,Transfer,URL,UUID,a,button,class Tags,div,external_script,folder,form,hash_value,httponly,iframe,img,input,internal_script,label,script,secure,sensitive,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case4,sensitive_case5,sensitive_case6,session,session & httponly,source,span,textarea
0.0,0.0,1.0,1.0,100.0,1.0,0.0,46.0,0.0,115.0,0.0,35.0,506.0,1.0,169.0,Banco de la NaciÃ³n - Multired Virtual,248.0,https://www.zonasegurainisaenwebreactivemosjuntoselperu.com/BNWeb/lnicio/,022f7836-a577-448d-b7d6-2be1c499d21b,6.0,0.0,54.0,36.0,8.0,20200828.0,1.0,a0c62d6dc52fa9df06c49efe668a0c5eab4420fb,0.0,0.0,7.0,7.0,4.0,1.0,12.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,4.0,0.0
0.0,0.0,1.0,1.0,100.0,1.0,0.0,47.0,0.0,116.0,0.0,35.0,455.0,1.0,169.0,Banco de la NaciÃ³n - Multired Virtual,197.0,https://www.ingreso-zonasegura1bnvirtual.com/WebBN1/Inicio/,d48ed3c2-f59d-48b2-912a-d6a66791409e,4.0,0.0,53.0,37.0,9.0,20200828.0,1.0,cc1cc3c28fc55fc0a5b264d615dd4fc2466a92f7,0.0,0.0,7.0,11.0,5.0,1.0,14.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,5.0,0.0
0.0,3.0,2.0,7.0,39.0,9.0,25.0,261.0,0.0,91.0,5.0,41.0,1826.0,9.0,184.0,Bancolombia Sucursal Virtual Personas,755.0,http://scolo-sport.000webhostapp.com/USERd5ad.html,e76b5502-db3e-411c-81a7-a5bb0b6e37f4,8.0,1.0,93.0,61.0,19.0,20200828.0,1.0,b3115b7b2aa4840a97d274a907ce2959a35b8a89,0.0,2.0,2.0,6.0,19.0,1.0,38.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,34.0,0.0
0.0,3.0,2.0,7.0,100.0,9.0,25.0,258.0,0.0,91.0,5.0,38.0,1775.0,9.0,184.0,Bancolombia Sucursal Virtual Personas,731.0,https://scolo-sport.000webhostapp.com/USERd5ad.html,e7b4effa-9b58-48bf-8df0-b319a4bf2fdf,8.0,1.0,93.0,61.0,19.0,20200828.0,1.0,090fac85cc1cceaacc25ea6fdb3e519b3c4f8dde,0.0,2.0,2.0,6.0,19.0,1.0,38.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,34.0,0.0
0.0,1.0,1.0,1.0,100.0,1.0,0.0,9.0,0.0,39.0,10.0,9.0,444.0,1.0,102.0,Amazonã‚µã‚¤ãƒ³ã‚¤ãƒ³,129.0,https://amazn.iozua.com/pc/,505a7a77-be5a-4338-8657-a3b8e31b898b,11.0,0.0,63.0,36.0,3.0,20200828.0,2.0,066881cf910339dcb8efcc5fe20a8e2a2bf0f531,0.0,0.0,1.0,11.0,5.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0,0.0,PT,11.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,129.0,0.0,33.0,92.0,1.0,152.0,ã€æ¥½å¤©ã€‘ãƒ­ã‚°ã‚¤ãƒ³,77.0,http://login.rakuten.co.jp.rakutenamsdnwwefklsdfwn.top/,0d38dfe3-47b5-4490-99f2-5448d91822fc,15.0,0.0,23.0,16.0,9.0,20200828.0,1.0,c733b277468b903c7abff15494d1a5e06e6cb5ad,0.0,0.0,7.0,21.0,2.0,1.0,11.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,4.0,0.0
0.0,1.0,1.0,1.0,100.0,1.0,0.0,181.0,0.0,415.0,79.0,16.0,1406.0,1.0,929.0,"
            LocationPin
           ",336.0,https://my3-billingupdates.com,7f6e8f50-741d-4985-8955-2695a2d9da1f,102.0,42.0,514.0,155.0,13.0,20200828.0,3.0,f64aa9b2b41616e66d64d1d7c64bd5dc8fd50d0e,0.0,0.0,0.0,3.0,2.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,PT,44.0,0.0
0.0,3.0,2.0,8.0,100.0,10.0,90.0,61.0,0.0,79.0,1.0,27.0,1346.0,10.0,118.0,BT - Email Login Page,762.0,http://dyevs.yolasite.com/,9b869fe5-727e-4d46-8b15-03c3fc875074,3.0,0.0,39.0,42.0,12.0,20200828.0,1.0,e2ff6d8df1dc5c93ea206c798ebca44a0208c9ca,1.0,3.0,1.0,12.0,6.0,1.0,18.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,4.0,1.0
0.0,3.0,2.0,8.0,100.0,10.0,90.0,61.0,0.0,79.0,1.0,27.0,1346.0,10.0,118.0,BT - Email Login Page,762.0,https://dyevs.yolasite.com/,e7489ef3-a5d8-46f2-9865-0c0c4804e6b1,3.0,0.0,39.0,42.0,12.0,20200828.0,1.0,1433c6c7c61064dc1cf721266f023800b25fca61,1.0,3.0,1.0,12.0,6.0,1.0,18.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,4.0,1.0
0.0,3.0,2.0,8.0,100.0,10.0,90.0,61.0,0.0,79.0,1.0,27.0,1346.0,10.0,118.0,BT - Email Login Page,762.0,http://olrfj.yolasite.com/,825c1f11-0d25-4514-950a-abb69bbf5419,3.0,0.0,39.0,42.0,12.0,20200828.0,1.0,4cef76c00bb1e0b10e69a48efd895c46d64c17ab,1.0,3.0,1.0,12.0,6.0,1.0,18.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,PT,4.0,1.0
