Ad-blocked,Cookies,Countries,Domains,HTTPS,IPs,IPv6,JSGlobalVar,Malicious,No-class Tags,OutGoingLinks,Requests,Size,Subdomains,Tags,Title,Transfer,URL,UUID,Unnamed: 0.1,a,class Tags,div,external_script,folder,form,httponly,iframe,img,input,internal_script,label,script,secure,sensitive,session,session & httponly,source,textarea,hash_value,span,button,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case5,sensitive_case6,sensitive_case4
0.0,0.0,1.0,1.0,100.0,1.0,0.0,3.0,0.0,129.0,0.0,30.0,92.0,1.0,152.0,ã€æ¥½å¤©ã€‘ãƒ­ã‚°ã‚¤ãƒ³,76.0,https://grp01.rakuten.co.jp.rakutenlkfawefssdfawead.top/,00842985-ad42-4eed-a742-f6be3bf233a3,0.0,15.0,23.0,16.0,9.0,20200830.0,1.0,0.0,0.0,7.0,21.0,2.0,1.0,11.0,0.0,1.0,0.0,0.0,PT,0.0,c733b277468b903c7abff15494d1a5e06e6cb5ad,4.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,5.0,3.0,10.0,100.0,8.0,80.0,14.0,0.0,16.0,4.0,14.0,366.0,10.0,56.0,Website sleeping | 000webhost,139.0,https://secure-account24.000webhostapp.com/secure.html,0bf39f10-0c40-431a-8947-86d806b69cc6,1.0,6.0,40.0,21.0,2.0,20200830.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,PT,0.0,9e2f8d5a84f7b41d6eda6fc8a264e67fca981959,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,100.0,1.0,0.0,76.0,0.0,95.0,1.0,15.0,349.0,1.0,176.0,JCBã®ä¼šå“¡å°‚ç”¨WEBã‚µãƒ¼ãƒ“ã‚¹ã€ŒMyJCBï¼ˆãƒžã‚¤ã‚¸ã‚§ãƒ¼ã‚·ãƒ¼ãƒ“ãƒ¼ï¼‰ã€,125.0,https://www.tigertimed.icu/,cf8d7cb3-0d0c-4ce3-b740-3b6a69f58007,2.0,16.0,81.0,34.0,8.0,20200830.0,1.0,0.0,0.0,16.0,4.0,1.0,1.0,9.0,0.0,1.0,0.0,0.0,PT,0.0,899b78a0315bfdc48178511205155d7b48da2cb8,19.0,1.0,1.0,0.0,0.0,0.0,0.0,
0.0,0.0,1.0,1.0,100.0,1.0,0.0,3.0,0.0,129.0,0.0,33.0,92.0,1.0,152.0,ã€æ¥½å¤©ã€‘ãƒ­ã‚°ã‚¤ãƒ³,76.0,https://grp01.rakuten.co.jp.rakutenlkfawefssdfawead.xyz/,db8c5700-8052-4472-9123-4f52903adc32,3.0,15.0,23.0,16.0,9.0,20200830.0,1.0,0.0,0.0,7.0,21.0,2.0,1.0,11.0,0.0,1.0,0.0,0.0,PT,0.0,c733b277468b903c7abff15494d1a5e06e6cb5ad,4.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,0.0,1.0,1.0,100.0,1.0,0.0,3.0,0.0,129.0,0.0,33.0,92.0,1.0,152.0,ã€æ¥½å¤©ã€‘ãƒ­ã‚°ã‚¤ãƒ³,76.0,https://grp01.rakuten.co.jp.rakutenlkfawefssdfawead.buzz/,ba97a1ad-041d-4f14-bc2d-511d1941d930,4.0,15.0,23.0,16.0,9.0,20200830.0,1.0,0.0,0.0,7.0,21.0,2.0,1.0,11.0,0.0,1.0,0.0,0.0,PT,0.0,c733b277468b903c7abff15494d1a5e06e6cb5ad,4.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,129.0,0.0,32.0,92.0,1.0,152.0,ã€æ¥½å¤©ã€‘ãƒ­ã‚°ã‚¤ãƒ³,77.0,http://grp01.rakuten.co.jp.rakutenlkfawefssdfawead.top/,d524003f-78b3-4fc0-9489-85966465da90,5.0,15.0,23.0,16.0,9.0,20200830.0,1.0,0.0,0.0,7.0,21.0,2.0,1.0,11.0,0.0,1.0,0.0,0.0,PT,0.0,c733b277468b903c7abff15494d1a5e06e6cb5ad,4.0,0.0,1.0,0.0,0.0,0.0,0.0,
0.0,1.0,2.0,2.0,20.0,2.0,0.0,1.0,0.0,28.0,0.0,5.0,107.0,2.0,117.0,Log in to your PayPal account,105.0,http://paypal-login287.com/egg.php?secret_key=2bpy4xhrlt1kndmw5ja96vfu0i8og3,ca5a9c23-c115-4cbf-9209-7dc1002c1d8c,6.0,15.0,89.0,37.0,0.0,20200830.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,PT,0.0,f8818f839feb7ed5cafc3f6b9f766534c1c93558,6.0,4.0,1.0,0.0,0.0,0.0,1.0,
0.0,1.0,3.0,5.0,100.0,6.0,67.0,26.0,0.0,180.0,14.0,33.0,1712.0,6.0,441.0,Absa Online,537.0,https://cordobasy.com/Manage-AbsaOnlineBanking-httpsib.absa.co.zaabsa-onlinelogin.jsp-Logon-AbsaExpress/AbsaLogin.htm,159afe85-9804-4b65-8f6a-17b073079406,7.0,26.0,261.0,211.0,3.0,20200830.0,2.0,1.0,1.0,8.0,33.0,2.0,1.0,5.0,1.0,1.0,0.0,0.0,PT,0.0,bc73b753cabf18fe3f585b637413419cc807a78a,31.0,10.0,1.0,0.0,0.0,0.0,1.0,
0.0,0.0,3.0,4.0,93.0,4.0,67.0,8.0,0.0,175.0,15.0,28.0,414.0,4.0,438.0,Absa Online,188.0,https://www.allnewhaircut.com/apsm/Absa%20Online%20-%20PROFILE.htm,220252e6-d39d-49c0-bc68-77bb22bbdd74,8.0,26.0,263.0,205.0,1.0,20200830.0,2.0,0.0,1.0,9.0,33.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,PT,0.0,d8448cf230b242e1b483860c188325040ecadb3d,36.0,10.0,1.0,0.0,0.0,0.0,1.0,
0.0,0.0,4.0,5.0,7.0,5.0,40.0,72.0,0.0,227.0,3.0,54.0,768.0,6.0,307.0,Red Link - BANCO DE LA NACION ARGENTINA,780.0,http://201.213.128.78/,ed4b531e-75e8-4405-96f4-93763d054ec7,9.0,19.0,80.0,37.0,21.0,20200830.0,4.0,0.0,0.0,21.0,4.0,4.0,1.0,25.0,0.0,1.0,0.0,0.0,PT,0.0,5f85c4a1d0a3678d0aa4d16641252c859af3e1ac,7.0,46.0,1.0,0.0,0.0,0.0,1.0,
0.0,1.0,4.0,3.0,100.0,5.0,25.0,17.0,0.0,65.0,45.0,46.0,2073.0,5.0,436.0,Zilandra - 10B Giveaway - Giveaways - RuneScape Forum,1381.0,"https://secure.runescape.com-un.ru/m=forum/forums.ws691,552,595,63332875,1093",4722e716-ef9e-426a-8f53-9270d4919e90,10.0,102.0,371.0,76.0,7.0,20200830.0,2.0,0.0,0.0,18.0,6.0,4.0,1.0,11.0,0.0,1.0,1.0,0.0,PT,1.0,daa8fb52807e95e33c84cfd6ace3078ebf7cc555,65.0,8.0,1.0,0.0,0.0,0.0,0.0,
0.0,1.0,4.0,3.0,100.0,5.0,25.0,17.0,0.0,65.0,45.0,46.0,2073.0,5.0,436.0,Zilandra - 10B Giveaway - Giveaways - RuneScape Forum,1381.0,"https://secure.runescape.com-as.ru/m=forum/forums.ws688,165,128,94385826,1093",b3776a8d-99cb-44cf-8741-41174bf70070,11.0,102.0,371.0,76.0,7.0,20200830.0,2.0,0.0,0.0,18.0,6.0,4.0,1.0,11.0,0.0,1.0,1.0,0.0,PT,1.0,a2d3d9bafa73f6621994e51881b6e5cd24ab00f9,65.0,8.0,1.0,0.0,0.0,0.0,0.0,
0.0,2.0,2.0,9.0,96.0,10.0,60.0,37.0,0.0,56.0,14.0,23.0,837.0,11.0,127.0,Welcome to klik-link-bokep18.000webhostapp.com Free Website,286.0,http://klik-link-bokep18.000webhostapp.com/,a683063a-f322-486f-9c38-2912638562e1,12.0,15.0,71.0,28.0,7.0,20200830.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,PT,0.0,3e156722a9ce0edaed0b908cbe24d30d7b6bdcf2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
