UUID,label,source,folder,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,Cookies,URL,OutGoingLinks,JSGlobalVar,secure,session,httponly,session & httponly,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,sensitive
0313b983-1458-40b5-a790-e07994895bde,1.0,PT,20200831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1bb3845-59f9-4627-b3ff-0dd5da5faeab,1.0,PT,20200831,2.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,https://iausnqwa.com/account/,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,403 Forbidden,0.0
c6e85a60-5a9e-4916-81ce-86028808495d,1.0,PT,20200831,1.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,https://lnpost.kody-odbioru.com/,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Not Found,0.0
7f7d9a31-823a-48d9-99c2-5c728cff6df2,1.0,PT,20200831,1.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,https://lnpost.kody-odbioru.com/pobierz/,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Not Found,0.0
c66430ae-c986-4d77-9c83-b392dada8c1e,1.0,PT,20200831,1.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,https://lnpost.kody-odbioru.net/,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Not Found,0.0
7c470f6a-eccb-44c3-aff2-b4d440d89c54,1.0,PT,20200831,1.0,0.0,0.0,100.0,100.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,https://lnpost.kody-odbioru.net/pobierz/,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,404 Not Found,0.0
f31dbde2-3d32-43a9-b401-db99b80729f6,1.0,PT,20200831,83.0,0.0,0.0,100.0,100.0,2.0,3.0,2.0,1.0,418.0,1644.0,1.0,https://www.en-audi-8yil.com/,1.0,291.0,1.0,0.0,1.0,0.0,151.0,5.0,1.0,22.0,56.0,47.0,9.0,1.0,12.0,0.0,390.0,241.0,149.0,"
	Enpara.com Ä°nternet BankacÄ±lÄ±ÄŸÄ± GiriÅŸ
",1.0
5d7aa090-9d76-483c-9874-a2533cfec695,1.0,PT,20200831,12.0,0.0,0.0,33.0,75.0,4.0,4.0,5.0,3.0,195.0,449.0,0.0,http://acces-ing-cliente-iid55454.u1137972.cp.regruhosting.ru/ing-login/account/,0.0,4.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,3.0,3.0,0.0,1.0,4.0,0.0,48.0,20.0,28.0,"Acceso clientes, ING",0.0
5df2596e-6938-4a19-b851-4fb860a43b6e,1.0,PT,20200831,13.0,0.0,0.0,100.0,33.0,3.0,3.0,3.0,2.0,2078.0,2129.0,0.0,https://mikomatsu.com/fuse/,0.0,3.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,3.0,3.0,1.0,2.0,1.0,5.0,0.0,52.0,44.0,8.0,"Wells Fargo - Personal & Business Banking - Student, Auto & Home Loans - Investing & Insurance",0.0
2450cb7b-5751-4366-9b16-29271804fe5c,1.0,PT,20200831,13.0,0.0,0.0,100.0,33.0,3.0,3.0,3.0,2.0,2078.0,2129.0,0.0,https://mikomatsu.com/fuse/login.php?cmd=login_submit&id=4e667a98f855106936ab7007686469fd4e667a98f855106936ab7007686469fd&session=4e667a98f855106936ab7007686469fd4e667a98f855106936ab7007686469fd,0.0,3.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,3.0,3.0,1.0,2.0,1.0,5.0,0.0,52.0,44.0,8.0,"Wells Fargo - Personal & Business Banking - Student, Auto & Home Loans - Investing & Insurance",0.0
