UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly
d6f34567-b9b9-4b69-a6cf-5e97915f3dd6,0.0,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,http://5.135.0.0/2018/11/16/hej-varlden/,0.0,0.0,0.0
d486d6d6-075d-40af-903c-3c5e5fb4166f,0.0,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,http://5.135.0.0/author/mildy98/,0.0,0.0,0.0
66f59b73-ec56-44b7-a2df-097225889158,0.0,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,http://5.135.0.0/robots.txt,0.0,0.0,0.0
95e1dec3-b0c9-4ecc-824e-880402ebddc8,0.0,CC,111.0,9.0,0.0,66.0,21.0,16.0,5.0,1.0,3.0,0.0,355.0,228.0,127.0,Guy Harrison - Guy Harrison's main page,0.0,0.0,0.0,0.0,42.0,39.0,0.0,0.0,0.0,50.0,6.0,6.0,6.0,3.0,565.0,558.0,http://35.201.11.0,21.0,1.0,0.0
d218cc9e-eff5-420c-aac0-d81a346f79c8,0.0,CC,111.0,9.0,0.0,66.0,21.0,16.0,5.0,1.0,3.0,0.0,355.0,228.0,127.0,Guy Harrison - Guy Harrison's main page,4.0,0.0,1.0,1.0,42.0,39.0,0.0,0.0,0.0,50.0,6.0,6.0,6.0,3.0,565.0,558.0,http://35.201.11.0/,21.0,1.0,1.0
26992a70-d3dd-42d9-821b-d647aa160bde,0.0,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,http://35.201.11.0/robots.txt,0.0,0.0,0.0
7105a90d-5f3a-4900-a867-8824c3681ede,0.0,CC,25.0,4.0,0.0,1.0,6.0,4.0,2.0,1.0,4.0,0.0,63.0,39.0,24.0,ç™»å½• | Log in,0.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1464.0,1458.0,http://39.107.110.0/admin/order,0.0,1.0,0.0
e5f4197d-6d2a-44c6-9969-909e3088fde2,0.0,CC,25.0,4.0,0.0,1.0,6.0,4.0,2.0,1.0,4.0,0.0,63.0,39.0,24.0,ç™»å½• | Log in,0.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1461.0,1455.0,http://39.107.110.0/admin/supplier_login,0.0,1.0,0.0
c5b1509e-be26-492f-8c90-a844bb99c9db,0.0,CC,25.0,4.0,0.0,1.0,6.0,4.0,2.0,1.0,4.0,0.0,63.0,39.0,24.0,ç™»å½• | Log in,0.0,0.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1463.0,1458.0,http://39.107.110.0/robots.txt,0.0,1.0,0.0
981d4a27-5dbd-46b5-9074-288b0c3b47ba,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
f162b9fb-ed3c-4c60-bce4-3a4c57ee0073,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
da61dc48-27cf-47d8-8feb-750cab4a1b70,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
df3a91f4-d160-400f-a641-425570eb664e,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
00e330f0-36d0-436b-8e55-a393b4d81738,0.0,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
66c46f9e-938f-483e-ba7f-31b8ad7cd5b1,0.0,CC,42.0,10.0,1.0,134.0,17.0,12.0,5.0,1.0,2.0,0.0,387.0,270.0,117.0,Slot Online Archives | sedaia-distribution,4.0,1.0,0.0,1.0,42.0,32.0,0.0,0.0,41.0,56.0,8.0,9.0,9.0,4.0,397.0,856.0,http://51.79.130.0/category/slot-online/,4.0,0.0,0.0
0819691b-2208-4720-9b1b-8e9c41bd586d,0.0,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,http://51.79.130.0/robots.txt,0.0,0.0,0.0
