UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive
9d506ad5-b111-4917-912b-ff08c441d923,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888?site=narvik2020.no/robots.txt,0.0,0.0
84509cac-c322-45a9-a965-6b5f39460154,0.0,CC,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=narvik2020.no/swedish-victory/,0.0,0.0
544be19a-f056-4b0f-9f3e-932ad289b97b,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=narvik2020.no/the-cancellation-information-to-the-teams/,0.0,0.0
d396e8a1-f93f-45ff-aa6c-c0096f961f3a,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=narvik2020.no/the-closing-ceremony-is-cancelled/,0.0,0.0
ffda5845-2a51-43cf-9b21-9930b365b818,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=narvik2020.no/volunteers/enjoy-volunteering/,0.0,0.0
e70ff26c-12e8-4f11-9fd7-65e4ea84efc6,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=oggevann.no/hyttetyper/,0.0,0.0
0d0fbcfd-6d7b-4865-b588-106ee6736632,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=oggevann.no/om-oggevatn/,0.0,0.0
1c8165d6-3ecd-4c6b-a6ad-084e5ca7810b,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/a-lede-en-bedrift-gjennom-usikre-tider/,0.0,0.0
3a2d3c15-52c3-4a9c-841c-6a126c105213,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/author/a-precept-no/,0.0,0.0
8c6f32ee-3c81-4042-b025-0e39a75a8bea,0.0,CC,19.0,2.0,3.0,0.0,5.0,3.0,2.0,1.0,0.0,1.0,89.0,45.0,44.0,Unauthorized Access,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,83.0,75.0,4.0,4.0,5.0,3.0,175.0,432.0,http://178.164.11.101:8888/?site=precept.no/blogg/,0.0,0.0
