,UUID,Graph,label,source,Cookies,secure,session,httponly,httponly session,no httponly session
0,3540e80b-efdd-4b8c-8d27-6e1723d39a32,True,1.0,OP,0,,,,,
1,8e441f5e-44de-4a59-a505-9990c927d628,True,1.0,OP,0,,,,,
2,6377f7c3-ecde-4a8f-a4b1-a46b8d829cfb,True,1.0,OP,0,,,,,
3,a522e422-dad5-4045-a556-0718defe31b6,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
4,6b5b411a-7c7c-40c5-8dc1-c79eac4ad30b,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
5,4dc835fb-98e3-4e37-bc41-c7953b180e3a,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
6,802ec4db-65e1-4cc0-893d-f5f0fe231ef2,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
7,8c4daddb-a1e2-48e3-9de3-7707996627d6,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
8,97802365-8d77-4ebb-ae61-8ae45bd004ec,True,1.0,OP,0,,,,,
9,2f57f721-4bcf-4c95-994a-60c6059336e1,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
10,f52898ea-3e98-44ad-8025-b16318c973e2,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
11,25398306-18a8-4744-b5e6-bceefe06e809,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
12,8cd92c12-3000-48bc-baba-0756661a392a,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
13,ffca52dc-99a1-4841-a810-f8da4e5b7183,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
14,286bdb72-9c1d-4a03-86da-466cc3802ded,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
15,a6528732-a627-4c9a-b796-da969d5ac2b8,True,1.0,OP,0,,,,,
16,7bd5a5b6-15fc-46a8-b0a4-937b808bd552,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
17,37970ae5-4e7b-45aa-9918-83a105d1f6d6,True,1.0,OP,0,,,,,
18,72fb6fc9-0ad0-4d08-9a74-be91b3efce61,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
19,c6a5892c-0adc-402f-81e1-9b447adcf482,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
20,3fc03167-6ff3-4e67-b497-4f3b66ebdf4f,False,1.0,OP,,,,,,
21,12fed2c1-1f3c-4d0c-a360-f1f8b4d98a85,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
22,c4c89e5d-4181-4ddd-b8e6-0aa242e0a6d2,True,1.0,OP,0,,,,,
23,f22e83f5-2bc4-4eba-a632-e9115380115a,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
24,1fbe12b4-86ca-448c-b7ea-f6bc3e7b6fb1,True,1.0,OP,0,,,,,
25,0542bc23-2a99-4f5a-aeab-b866ef2591a1,True,1.0,OP,0,,,,,
26,3ae33242-74a1-4c66-ab04-4a834846fbd7,True,1.0,OP,0,,,,,
27,d7e4eafb-e4df-472b-99df-0f87cddd2959,True,1.0,OP,0,,,,,
28,aa75c9d9-7e1c-4367-a315-9597e66193bc,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
29,0f773707-2b82-468d-b9a8-8fa9c9ff9c63,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
30,5d3dbea4-3f5a-47f8-bbf9-24d0d93a0a11,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
31,9b735dd7-d191-4587-a0b3-7465c2ae4a17,True,1.0,OP,0,,,,,
32,24aa8f4b-d337-46b8-89cc-ee27e3e87816,True,1.0,OP,0,,,,,
33,048ff41d-9ff8-4742-bd19-591917c15057,True,1.0,OP,0,,,,,
34,0e2c999a-9437-4b8f-bff8-82520f5e7ffc,True,1.0,OP,2,0.0,1.0,1.0,1.0,1.0
35,8af5cf34-7656-48eb-84c3-d61f505cc895,True,1.0,OP,1,0.0,1.0,0.0,0.0,1.0
36,216f2d4c-bed7-4557-a4f2-e5040f24c9f2,True,1.0,OP,0,,,,,
37,e4ef36e5-743f-4443-a0a7-d300dfdf4f6d,True,1.0,OP,0,,,,,
38,52bc19e0-1ee9-403a-877b-6a81bb0b3029,True,1.0,OP,0,,,,,
39,41a84716-a7ab-48d5-81c4-e30d41923892,True,1.0,OP,0,,,,,
