UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,span,button,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case4,hash_value
b2153eab-790f-4b06-bc73-0d23a4e66593,1.0,OP,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",2.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,100.0,0.0,5.0,8.0,7.0,3.0,963.0,1618.0,https://hasmob.com/ngozi/alibaba.com/Login.htm,48.0,0.0,0.0,20200702_1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,824a8526a87ccb3c8b4774f537a7c76eff1c3076
10139e75-bdf7-4195-a10c-6ae409504d7b,1.0,OP,255.0,4.0,0.0,28.0,8.0,5.0,3.0,0.0,0.0,0.0,364.0,64.0,300.0,Steam Community,2.0,0.0,0.0,0.0,37.0,29.0,0.0,0.0,62.0,57.0,7.0,7.0,7.0,3.0,434.0,1325.0,http://sassosassino420.000webhostapp.com/,14.0,0.0,0.0,20200702_1,1.0,9.0,0.0,0.0,0.0,0.0,0.0,946f016814d6b7a22d2adf3723b083885b90571f
5a432655-7cad-4880-8557-dd17a8eb50ef,1.0,OP,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",2.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,37.0,0.0,5.0,9.0,8.0,2.0,985.0,1639.0,http://kerfoo.com/routes/alibaba.com/Login.htm,48.0,0.0,0.0,20200702_1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,a9f2e99f4c9992c90c2c7d294ee041db86972c10
1b7e8bcf-b31a-4714-95e6-8ceae71c1037,1.0,OP,24.0,0.0,1.0,19.0,3.0,1.0,2.0,0.0,0.0,0.0,82.0,47.0,35.0,": Welcome, Email Protect :",0.0,0.0,0.0,0.0,16.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,804.0,798.0,http://mala-riba.com/view/,0.0,0.0,0.0,20200702_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f781104c048a28cbb9829e29d142a311ad0b5ffa
b090e64f-5936-45c8-8c08-c20077bf0a0b,1.0,PT,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,41.0,15.0,GoDaddy Security - Access Denied,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,100.0,33.0,3.0,3.0,4.0,3.0,226.0,227.0,https://gbengineeringservices.com/arr/cel/excel/excel/excel/login.php,3.0,0.0,0.0,20200702_1,1.0,10.0,0.0,0.0,0.0,0.0,0.0,e277ab3d4db397e2f8a0db8092bd9a4f37cc5ce0
17ad9c29-5a7c-4e67-96c2-570742d49fd4,1.0,PT,38.0,5.0,0.0,17.0,4.0,1.0,3.0,0.0,0.0,0.0,149.0,62.0,87.0,"Droptop-cs.com Counter-Strike - Best Settings & Gaming Gear Guides for CS:GO, Source & 1.6",1.0,0.0,0.0,1.0,16.0,8.0,0.0,0.0,88.0,100.0,1.0,1.0,1.0,1.0,140.0,367.0,http://reithracsellidi.tk/,0.0,0.0,0.0,20200702_2,1.0,6.0,2.0,0.0,0.0,0.0,0.0,a22437e928c324e167a891e867ceb6f8d3936c87
ded082f6-eb5a-43e6-a89a-2fb2c4cb547c,1.0,PT,47.0,3.0,0.0,35.0,6.0,3.0,3.0,2.0,4.0,0.0,254.0,91.0,163.0,PÃ¡gina no encontrada â€“ HOLA IDIOMAS,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,582.0,579.0,http://www.holaidiomas.com/wp-includes/js/mtbonline,1.0,0.0,0.0,20200702_2,1.0,30.0,6.0,0.0,0.0,0.0,0.0,ae0dfe1795664c42b5c288b14b750b295fcf0626
fc8eeffb-d494-43bd-bf8b-a2e75ebee5bb,1.0,PT,280.0,4.0,0.0,32.0,8.0,5.0,3.0,0.0,0.0,0.0,402.0,72.0,330.0,Steam Community,2.0,0.0,0.0,0.0,37.0,29.0,0.0,0.0,100.0,57.0,7.0,7.0,7.0,2.0,437.0,1357.0,https://sinchamax220402.000webhostapp.com/Steam-Community-4,13.0,0.0,0.0,20200702_2,1.0,13.0,0.0,0.0,0.0,0.0,0.0,41c48fed629f1391fa5e883353eab4b0569a35fc
164a43a0-1f78-4f6d-bb95-978741f0f0a3,1.0,PT,286.0,4.0,0.0,32.0,8.0,5.0,3.0,0.0,0.0,0.0,411.0,74.0,337.0,Steam Community,2.0,0.0,0.0,0.0,37.0,29.0,0.0,0.0,100.0,57.0,7.0,7.0,7.0,2.0,434.0,1335.0,https://sassosassino420.000webhostapp.com/Steam-Community-7,15.0,0.0,0.0,20200702_2,1.0,15.0,0.0,0.0,0.0,0.0,0.0,77d546bb1eea553829d35892c5b00df0a7d408c0
eac0313a-64f1-442c-ae73-e7229d27e714,1.0,PT,1396.0,66.0,0.0,232.0,8.0,5.0,3.0,0.0,0.0,0.0,1849.0,272.0,1577.0,Steam Community,2.0,0.0,0.0,0.0,37.0,71.0,0.0,0.0,100.0,38.0,8.0,9.0,8.0,3.0,332.0,1494.0,https://sassosassino420.000webhostapp.com/Steam-Community-3,65.0,0.0,0.0,20200702_2,1.0,11.0,0.0,0.0,0.0,0.0,0.0,fdf0d2eca59eae1ee5e637972802512da0a45885
