UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,span,button,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case4,hash_value
b2153eab-790f-4b06-bc73-0d23a4e66593,1.0,OP,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",2.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,100.0,0.0,5.0,8.0,7.0,3.0,963.0,1618.0,https://hasmob.com/ngozi/alibaba.com/Login.htm,48.0,0.0,0.0,20200702_1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,824a8526a87ccb3c8b4774f537a7c76eff1c3076
6fb99750-dcca-49b0-80d3-9f6c609a8d6f,1.0,OP,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",1.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,100.0,0.0,5.0,8.0,7.0,3.0,963.0,1618.0,https://hasmob.com/selling/alibaba.com/Login.htm,48.0,0.0,0.0,20200702_1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,824a8526a87ccb3c8b4774f537a7c76eff1c3076
879f9b63-44a3-4517-b680-8c778ae238ce,1.0,OP,24.0,5.0,1.0,2.0,4.0,3.0,1.0,0.0,2.0,0.0,83.0,60.0,23.0,login,13.0,13.0,7.0,10.0,5.0,13.0,0.0,0.0,100.0,78.0,8.0,9.0,10.0,6.0,395.0,646.0,https://cucu91.com/js/candy/res/sharepoint/,0.0,0.0,6.0,20200702_1,1.0,4.0,1.0,0.0,0.0,0.0,1.0,b59e6b2226472e790ac595416fa9a087e1140cbb
5a432655-7cad-4880-8557-dd17a8eb50ef,1.0,OP,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",2.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,37.0,0.0,5.0,9.0,8.0,2.0,985.0,1639.0,http://kerfoo.com/routes/alibaba.com/Login.htm,48.0,0.0,0.0,20200702_1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,a9f2e99f4c9992c90c2c7d294ee041db86972c10
1b7e8bcf-b31a-4714-95e6-8ceae71c1037,1.0,OP,24.0,0.0,1.0,19.0,3.0,1.0,2.0,0.0,0.0,0.0,82.0,47.0,35.0,": Welcome, Email Protect :",0.0,0.0,0.0,0.0,16.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,804.0,798.0,http://mala-riba.com/view/,0.0,0.0,0.0,20200702_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,f781104c048a28cbb9829e29d142a311ad0b5ffa
271a557e-c309-4314-a2fd-c4b8e9eb90df,1.0,PT,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",1.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,37.0,0.0,5.0,8.0,7.0,3.0,2686.0,3599.0,http://campcarnivalindia.com/blog/wp-content/themes/Alibaba.com/Login.htm,48.0,0.0,0.0,20200702_2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,5225bc12a6b093f54d9692861468f6ef6194572d
d4f56880-114f-465e-8d90-cab177cdade5,1.0,PT,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",1.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,37.0,0.0,5.0,8.0,7.0,3.0,2925.0,3577.0,http://www.comercialmattos.com.br/login.html?id=sz7bpi8hhgdgycf497v-gg0uzqdvddonvqayhi5o9x_txyy7urgr3ovvooy5rbbgyrg3-yq,48.0,0.0,0.0,20200702_2,1.0,4.0,0.0,0.0,0.0,0.0,0.0,e69d964e86ba4947321b7c30d1010ef4b981e514
6a57398d-4800-4416-8ce0-a31527cb5f3c,1.0,PT,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",1.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,37.0,0.0,5.0,8.0,7.0,3.0,2925.0,3577.0,http://www.comercialmattos.com.br/login.html,48.0,0.0,0.0,20200702_3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,e69d964e86ba4947321b7c30d1010ef4b981e514
1b6a0e17-b7c5-4c10-a89c-fe0a06d6ac72,1.0,PT,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",0.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,37.0,0.0,5.0,9.0,7.0,3.0,2665.0,3576.0,http://www.coconnext.com/saam/Login.htm,48.0,0.0,0.0,20200702_3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,e69d964e86ba4947321b7c30d1010ef4b981e514
33ccd214-894a-4b8c-b168-db62aa9518f0,1.0,PT,108.0,9.0,1.0,110.0,12.0,8.0,4.0,0.0,0.0,0.0,539.0,227.0,312.0,Login - Mail.Ru,0.0,0.0,0.0,0.0,17.0,42.0,0.0,0.0,7.0,20.0,5.0,7.0,6.0,3.0,633.0,1552.0,http://preparedplans.com/wp/mail.ru/,72.0,0.0,0.0,20200702_3,1.0,57.0,2.0,0.0,0.0,0.0,0.0,e95fe85d2f6a05026b5b96db5f6f7302f296f21d
