UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,hash_value,span,button,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case4
1a58675f-c4df-43f4-afc1-0dcf15689df8,1.0,OP,10.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,34.0,32.0,"(1) New File | Secure File Sharing, Storage and Collaboration",1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,94.0,75.0,4.0,4.0,4.0,3.0,272.0,458.0,https://tacticalhvac.net/docs/FILE/,0.0,0.0,0.0,20200702_1,0.0,86970b47a56a3dbc58b23e454286df344e7f3981,0.0,1.0,0.0,0.0,0.0,0.0
aeb73746-3e28-4826-aba8-d15bc146a81d,1.0,OP,61.0,2.0,1.0,66.0,2.0,0.0,2.0,2.0,5.0,0.0,310.0,100.0,210.0,Personal cloud storage - Microsoft OneDrive,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,100.0,67.0,5.0,6.0,6.0,2.0,174.0,435.0,https://linkedinprofile.nw.r.appspot.com/home.html,28.0,1.0,0.0,20200702_1,0.0,11b653741059a9ee77932527610a7c99fa5589dc,17.0,17.0,1.0,0.0,0.0,0.0
25a9e4e9-cebf-4e73-97b2-c322f49337a5,1.0,OP,55.0,8.0,0.0,27.0,2.0,2.0,0.0,1.0,5.0,0.0,185.0,109.0,76.0,Login - Dropbox ,0.0,0.0,0.0,0.0,3.0,40.0,0.0,0.0,8.0,50.0,2.0,2.0,2.0,2.0,244.0,690.0,http://pinnerx.com/abc/DMUYrjR0AKu3GZTwWYsUGirmNGCHghYT4TSvcJwMu0Pb0JHWHaRotiLhZoZfFY9KR1g3KMQfMFq/,2.0,0.0,0.0,20200702_1,0.0,0d4a33201bbd411ca38bc9368f928c0262e15e56,6.0,2.0,1.0,0.0,0.0,0.0
7303259d-53a3-4da1-8c86-77a431736c40,1.0,OP,0.0,8.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,53.0,53.0,0.0,Document Shared,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,11.0,50.0,2.0,2.0,2.0,2.0,82.0,82.0,http://sandwichmill.net/img/htaccess/secured/,0.0,0.0,0.0,20200702_1,0.0,1c4c0225a4966fb83188f3394974facd1409df88,0.0,0.0,0.0,0.0,0.0,0.0
0f09e3a0-2b1f-4e92-a3cd-2130dce695ec,1.0,OP,22.0,10.0,0.0,15.0,8.0,6.0,2.0,0.0,1.0,0.0,87.0,71.0,16.0,"
	Sign in
",0.0,0.0,0.0,0.0,48.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,265.0,543.0,http://drinksomecoffee.com/tmp1/agreement_docs2/specialdocs/MicrosoftOneDrive_files/emailhrd.html,0.0,0.0,0.0,20200702_1,0.0,cdf987406bdc5d1ed52454f54746f13ab4cba511,5.0,1.0,0.0,0.0,0.0,0.0
96015ea4-ef21-4b84-be59-38f41850d9ac,1.0,OP,106.0,21.0,2.0,4.0,12.0,5.0,7.0,1.0,17.0,0.0,312.0,127.0,185.0,"Amazon
",1.0,1.0,0.0,1.0,18.0,36.0,0.0,0.0,100.0,88.0,8.0,8.0,7.0,2.0,1008.0,1580.0,http://track-au.newmagz.com/ga/click/2-105738506-5019-162469-297725-199357-9373c41463-a17f4c1ae3,4.0,1.0,0.0,20200702_1,0.0,e0a3d547b63c4033810a8e7796c98ef637879fb9,40.0,5.0,1.0,0.0,0.0,0.0
20bd7bfe-1f25-45c0-a81c-aeac4c3e0494,1.0,OP,78.0,21.0,0.0,14.0,5.0,4.0,1.0,0.0,6.0,0.0,255.0,74.0,181.0,æ’å³°å¨±ä¹-æ¯å¤©æœ‰æƒŠå–œï¼Œä¿¡èª‰é¦–é€‰,0.0,0.0,0.0,0.0,18.0,40.0,0.0,0.0,5.0,50.0,2.0,2.0,3.0,2.0,1498.0,1668.0,http://m.ham9222.com/,0.0,0.0,0.0,20200702_1,0.0,128c2ea5fc176cc9b2ae697b15ed52121feb3383,42.0,0.0,0.0,0.0,0.0,0.0
4f2b2281-c4f8-430a-8940-08ca99b37b67,1.0,OP,26.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,76.0,49.0,27.0,"
eBay-Web - Sign in c85b4a26",0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,53.0,147.0,http://silvetmaster.ru/D3cegd77b6e8bf68h/?stb=a1b&fra=a2V2aW5faGlnZ2luc0BtYW51bG%20lmZS5jb20=,0.0,1.0,0.0,20200702_1,0.0,9b08af826ef9953fee1bf34b045308769efaf06a,5.0,1.0,1.0,0.0,0.0,0.0
ee6e1375-9d15-4277-a606-74038d5f6b71,1.0,OP,10.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,30.0,36.0,"(1) New File | Secure File Sharing, Storage and Collaboration",1.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,100.0,71.0,7.0,7.0,7.0,3.0,380.0,559.0,https://peds-ortho.com/altastatement/fire-3/,0.0,0.0,0.0,20200702_1,0.0,68cd60f2b655a62c965abebc69a18b04a94e7fc2,0.0,1.0,0.0,0.0,0.0,0.0
a2e5f934-fa17-4d99-86af-1677bc7f77ba,1.0,OP,37.0,12.0,0.0,15.0,2.0,0.0,2.0,5.0,25.0,0.0,179.0,130.0,49.0,"
      Google Drive - Login
    ",0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,138.0,134.0,http://clayheart.com/wp-content/plugins/jjkkii/,2.0,1.0,0.0,20200702_1,0.0,90f4668811543b643976d0a283fc7c721807d779,4.0,0.0,1.0,0.0,0.0,0.0
