UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,hash_value,span,button,sensitive_case1,sensitive_case2,sensitive_case3,sensitive_case4
c5102fcc-9166-4a53-aede-a712441add44,1.0,OP,46.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,89.0,73.0,16.0,TRACK Express,0.0,0.0,0.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,398.0,394.0,http://2c3262d59d2716553.tempsite.link/Z0FE3F3AZS2AZ3/64542E98RD5A6DSAZF5R8RZ/6DE3ZF6RZGZED5/TRY+FZFPFEZMD/TRACKINGNUMBER/,0.0,0.0,0.0,20200702_1,1.0,bc4485b07ae3b248669346700cd6531d32880e81,0.0,0.0,0.0,0.0,0.0,0.0
b2153eab-790f-4b06-bc73-0d23a4e66593,1.0,OP,34.0,3.0,1.0,71.0,5.0,3.0,2.0,0.0,0.0,0.0,170.0,126.0,44.0,"Alibaba Manufacturer Directory - Suppliers, Manufacturers, Exporters &amp; Importers ",2.0,0.0,0.0,0.0,19.0,30.0,0.0,0.0,100.0,0.0,5.0,8.0,7.0,3.0,963.0,1618.0,https://hasmob.com/ngozi/alibaba.com/Login.htm,48.0,0.0,0.0,20200702_1,1.0,824a8526a87ccb3c8b4774f537a7c76eff1c3076,4.0,0.0,0.0,0.0,0.0,0.0
879f9b63-44a3-4517-b680-8c778ae238ce,1.0,OP,24.0,5.0,1.0,2.0,4.0,3.0,1.0,0.0,2.0,0.0,83.0,60.0,23.0,login,13.0,13.0,7.0,10.0,5.0,13.0,0.0,0.0,100.0,78.0,8.0,9.0,10.0,6.0,395.0,646.0,https://cucu91.com/js/candy/res/sharepoint/,0.0,0.0,6.0,20200702_1,1.0,8ae7b140fc14c1f046ef85d84391a8d29b050486,4.0,1.0,0.0,0.0,0.0,0.0
10139e75-bdf7-4195-a10c-6ae409504d7b,1.0,OP,255.0,4.0,0.0,28.0,8.0,5.0,3.0,0.0,0.0,0.0,364.0,64.0,300.0,Steam Community,2.0,0.0,0.0,0.0,37.0,29.0,0.0,0.0,62.0,57.0,7.0,7.0,7.0,3.0,434.0,1325.0,http://sassosassino420.000webhostapp.com/,14.0,0.0,0.0,20200702_1,1.0,946f016814d6b7a22d2adf3723b083885b90571f,9.0,0.0,0.0,0.0,0.0,0.0
1b7e8bcf-b31a-4714-95e6-8ceae71c1037,1.0,OP,24.0,0.0,1.0,19.0,3.0,1.0,2.0,0.0,0.0,0.0,82.0,47.0,35.0,": Welcome, Email Protect :",0.0,0.0,0.0,0.0,16.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,804.0,798.0,http://mala-riba.com/view/,0.0,0.0,0.0,20200702_1,1.0,f781104c048a28cbb9829e29d142a311ad0b5ffa,0.0,0.0,0.0,0.0,0.0,0.0
034767cf-a323-4807-a54c-9184a19e0883,1.0,OP,10.0,1.0,0.0,6.0,4.0,3.0,1.0,0.0,2.0,0.0,61.0,54.0,7.0,Just a moment...,1.0,0.0,1.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,165.0,397.0,http://update-palpay.detrein.com/,0.0,0.0,0.0,20200702_1,1.0,b1704c06a0085a3c71c5b04d232f8b5a3f7a3105,0.0,1.0,0.0,0.0,0.0,0.0
62dc956f-23b9-4c94-9a88-0053e789c2c4,1.0,OP,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,41.0,15.0,GoDaddy Security - Access Denied,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,88.0,33.0,3.0,3.0,4.0,3.0,226.0,227.0,http://cocrehab.com/lda/po/company/code,3.0,0.0,0.0,20200702_1,1.0,5e50bbc707115007c3b47c540a00b20a3858d6cd,10.0,0.0,0.0,0.0,0.0,0.0
37621b7e-0eef-43da-8b5f-87afbb46fe43,1.0,OP,70.0,6.0,0.0,9.0,3.0,1.0,2.0,0.0,2.0,0.0,108.0,48.0,60.0,Sign in to Outlook,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,100.0,50.0,8.0,8.0,9.0,5.0,342.0,516.0,https://muggetlogin.oa.r.appspot.com/off365.html,0.0,0.0,0.0,20200702_1,1.0,a82b78f4a8ab37130bf0cf5a8bee8449cf750777,4.0,2.0,0.0,0.0,0.0,0.0
739da224-c70a-46d9-8c65-16e5b78866bd,1.0,PT,17.0,0.0,0.0,12.0,17.0,15.0,2.0,0.0,3.0,0.0,71.0,39.0,32.0,Sign In | Made-in-China.com,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,28.0,http://www.dsastars.org/main/wp-content/plugins/shell/madeinchina_clone/,12.0,0.0,0.0,20200702_1,1.0,16612ad2c8a926bd3a56ef948f90ea74afcf9133,8.0,1.0,0.0,0.0,0.0,0.0
58ce5bd5-f26a-4508-a952-f63a840dbee8,1.0,PT,83.0,5.0,0.0,46.0,12.0,8.0,4.0,0.0,0.0,0.0,353.0,72.0,281.0,PayPal: Summary,3.0,0.0,2.0,0.0,19.0,25.0,0.0,0.0,52.0,33.0,4.0,4.0,4.0,2.0,2390.0,4338.0,http://greteldeblock.com/panel/pp/PPL14/ppl/69ae4c1165d670b06bc44a7c90f0a394MDkwMDAzMThhMjM0ZGU2MzMwYzM3NGM2OGE1NjE4Yzg=/myaccount/thanks/?cmd=_thanks_you_PayPal&amp;dispatch=3288043afb6a2f87e0ecf42d7&amp;locale=en_NG,0.0,0.0,0.0,20200702_1,1.0,22ce3657a50d947bd9c03f1664a06a16b9931d13,86.0,5.0,0.0,0.0,0.0,0.0
