UUID,label,source,div,img,iframe,a,script,external_script,internal_script,form,input,textarea,Tags,No-class Tags,class Tags,Title,Cookies,secure,session,httponly,JSGlobalVar,Requests,Ad-blocked,Malicious,HTTPS,IPv6,Domains,Subdomains,IPs,Countries,Transfer,Size,URL,OutGoingLinks,sensitive,session & httponly,folder,sensitive_label,hash_value
a522e422-dad5-4045-a556-0718defe31b6,1.0,OP,14.0,5.0,0.0,15.0,5.0,4.0,1.0,1.0,2.0,0.0,75.0,52.0,23.0,   -  ,1.0,0.0,1.0,0.0,8.0,9.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,1.0,95.0,282.0,http://shadetreetechnology.com/V4/validation/ba4b8bddd7958ecb8772c836c2969531/,0.0,1.0,0.0,20200702_1,1.0,921f666a7a8c3b01516cabf91a0154e9bea82ff0
24aa8f4b-d337-46b8-89cc-ee27e3e87816,1.0,OP,86.0,5.0,0.0,13.0,11.0,4.0,7.0,2.0,10.0,0.0,231.0,114.0,117.0,"
                        Sign in to Office 365
        ",0.0,0.0,0.0,0.0,42.0,13.0,0.0,0.0,23.0,50.0,2.0,2.0,2.0,2.0,537.0,701.0,http://hentech.com.hk/img/office360/,5.0,1.0,0.0,20200702_1,1.0,707a7ebbde718e18d57921037a4589bee8f196be
41a84716-a7ab-48d5-81c4-e30d41923892,1.0,OP,18.0,9.0,0.0,4.0,4.0,2.0,2.0,1.0,23.0,0.0,543.0,455.0,88.0,Resolution Center - PayPal,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,5.0,0.0,2.0,3.0,1.0,1.0,66.0,180.0,http://designferreira.com.br/olilo.com.br/payp/v/identification.php?cmd=_account,2.0,1.0,0.0,20200702_1,1.0,ecccc3dfae7ba6e82c8a2d2b3f66a6c9997ddad9
75aa703b-02f6-406b-aa5a-550a3781a021,1.0,OP,49.0,2.0,0.0,5.0,5.0,3.0,2.0,1.0,7.0,0.0,112.0,52.0,60.0,Telekom Login,0.0,0.0,0.0,0.0,7.0,21.0,0.0,0.0,0.0,50.0,2.0,2.0,2.0,2.0,308.0,309.0,http://csytravels.in/well-known/pki-validation/folder/,5.0,1.0,0.0,20200702_1,1.0,39bd8795db6dc79a22f035ec2ee121651ccab071
2c30599e-4714-44d9-be85-3b1a4b602a86,1.0,OP,23.0,4.0,0.0,9.0,2.0,0.0,2.0,1.0,2.0,0.0,66.0,49.0,17.0,ä¸­å›½é‚®æ”¿é€Ÿé€’ç‰©æµ,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,83.0,0.0,2.0,2.0,2.0,2.0,64.0,66.0,https://fashion7.prmjiat.com/admin/controller/extension/extension/web/intrim/post/china/logistics/,4.0,1.0,0.0,20200702_1,1.0,6368c2a949b10e2eac4cc5d07706037b0fb2c8fd
b10ae069-2106-4720-bc7f-21d15a49ae34,1.0,OP,23.0,3.0,0.0,27.0,5.0,5.0,0.0,1.0,5.0,0.0,119.0,77.0,42.0,Manage your Apple ID - Apple,1.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,3.0,7.0,https://support-appleld.com.secureupdate.duilawyeryork.com/ap/f99389dc879b1be/,0.0,1.0,0.0,20200702_1,1.0,da78af5c9c27412c9ca9053440c031594e141f19
f4bbb863-7779-45d6-9a2a-64823c573706,1.0,OP,31.0,1.0,0.0,10.0,9.0,6.0,3.0,2.0,26.0,0.0,293.0,239.0,54.0,Einloggen oder neu anmelden | eBay,2.0,0.0,0.0,0.0,41.0,25.0,0.0,0.0,100.0,29.0,4.0,7.0,8.0,3.0,389.0,1303.0,https://www.rbelectricidad.cl/IhrFall3734169042114406&cgi3-ViewKontakt-3734169042114406-007acctpagetype-3734169042114406=23599-problema&info@agrarking.de.html,8.0,1.0,0.0,20200702_1,1.0,6642a8d174c9aba6ed64a6ea50b9c8f8c1ee4a46
909ceab1-a79e-42c6-9451-f48a8cddea6a,1.0,OP,36.0,2.0,0.0,4.0,9.0,3.0,6.0,2.0,25.0,0.0,100.0,69.0,31.0,Sign in to your Microsoft account,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,100.0,67.0,4.0,4.0,3.0,2.0,156.0,404.0,https://orlette.com/quotes,4.0,1.0,0.0,20200702_1,1.0,fd62e3f8f8516e0a284ea1607787184f57defe44
a7e9fe6c-74c2-46e8-8f81-af6834ab2337,1.0,OP,16.0,0.0,0.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,51.0,27.0,24.0,Log in to your PayPal Account,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,49.0,109.0,https://www.bmlkochi.com/login/myaccount/signin/,0.0,1.0,0.0,20200702_1,1.0,9e0f5bf29acdeed78a9c45f5c56786d425a5bb94
ec23ba7f-3884-4f91-8cbb-e9fc55428a38,1.0,OP,79.0,1.0,0.0,12.0,2.0,0.0,2.0,1.0,17.0,0.0,154.0,65.0,89.0,ÙÙŠØ³Ø¨ÙˆÙƒ - ØªØ³Ø¬ÙŠÙ„ Ø§Ù„Ø¯Ø®ÙˆÙ„ Ø£Ùˆ Ø§Ù„Ø§Ø´ØªØ±Ø§Ùƒ,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,100.0,67.0,3.0,3.0,3.0,2.0,55.0,140.0,http://facebookcolor4.pubguc.world/,0.0,1.0,0.0,20200702_1,1.0,8e23e4222cb5e1c6a820315f569a467dacc3e6ea
839fcfdb-676b-4be7-959f-e9216bfaa838,1.0,OP,30.0,2.0,0.0,8.0,17.0,13.0,4.0,1.0,4.0,0.0,176.0,112.0,64.0,WhatsApp Free 150GB Internet!,8.0,0.0,0.0,0.0,12.0,55.0,0.0,0.0,100.0,43.0,6.0,7.0,7.0,6.0,1311.0,4815.0,http://whatsapp.parwadi.com/,0.0,1.0,0.0,20200702_1,1.0,95ac7974011889c65ceeacf8eeba9ba266d13941
9138dfd2-6af3-4f83-a8c0-7732efa6d8ba,1.0,OP,19.0,1.0,0.0,9.0,9.0,8.0,1.0,1.0,2.0,0.0,65.0,26.0,39.0,Webmail login,0.0,0.0,0.0,0.0,7.0,15.0,0.0,0.0,80.0,86.0,7.0,9.0,7.0,3.0,275.0,699.0,http://storage.googleapis.com/tetsalala-62c12.appspot.com/76yuv6fv/tduyttf.d,0.0,1.0,0.0,20200702_1,1.0,456a073a76fab405e17c948b91d6327ed594e98b
0a367eec-72b8-47b0-be76-8eaafc141afd,1.0,OP,3.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,4.0,0.0,120.0,120.0,0.0,Global Sources,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,15.0,30.0,http://matagtech.com/globe/GlobalSources/index.html,0.0,0.0,0.0,20200702_1,1.0,37b40f5a50a823737de8c7664d03be621d702391
698825c2-956d-40b4-9b2c-09123be4eb83,1.0,OP,186.0,60.0,1.0,5.0,21.0,18.0,3.0,1.0,5.0,0.0,333.0,302.0,31.0,Login,0.0,0.0,0.0,0.0,25.0,76.0,0.0,0.0,100.0,80.0,4.0,5.0,6.0,2.0,1203.0,1694.0,http://stillrtc.com/pages/login.php,4.0,1.0,0.0,20200702_1,1.0,b992198cebd4badce3eed0ce5e63103e74c3506c
ad4d4c8a-3c7f-425d-9bd5-65da9eff501c,1.0,OP,24.0,2.0,0.0,20.0,21.0,19.0,2.0,1.0,14.0,0.0,125.0,70.0,55.0,Sign In | Made-in-China.com,0.0,0.0,0.0,0.0,23.0,32.0,0.0,0.0,9.0,67.0,6.0,7.0,5.0,4.0,315.0,411.0,http://handmadebyamber.ca/wp-includes/js/made-in-china/,13.0,1.0,0.0,20200702_1,1.0,af2d6bf8d75d5fbfa8bb4517050fe1744b8eeafb
